Model,Accuracy,Precision,Recall,F1,ROC_AUC
LogisticRegression,0.7722095671981777,0.7329842931937173,0.7407407407407407,0.7368421052631579,0.8627936507936508
SVM,0.7995444191343963,0.7563451776649747,0.7883597883597884,0.772020725388601,0.8798730158730159
XGBoost,0.7904328018223234,0.7566137566137566,0.7566137566137566,0.7566137566137566,0.8590052910052911
